,Product,Requirement ID,Requirement,Standard / Configuration,Status,Measurement Method,Evidence Type,Evidence,Contributor,Remediation Action,Remediation Type,Remediation Status,Additional Notes
Q1,All Products,AV-01,Multi-AZ Deployment,Production workloads must run across >=2 Availability Zones,Not Measured,Manual,Note,All CFN templates have 2 az's,,,No change,No change,
Q1,All Products,SEC-01,Encryption in Transit,All external endpoints must enforce TLS,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-01,Defined DR Strategy,System must have documented disaster recovery architecture,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,LOG-01,Operational Log Retention,Logs retained for >=90 days,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,PERF-01,API Latency,Average API latency <=400ms,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-01,Multi-AZ Deployment,Production workloads must run across at least two Availability Zones,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-02,Database High Availability,Production databases must use Multi-AZ configuration,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-03,Health Monitoring,Services must expose health endpoints and monitoring checks,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-04,Automatic Service Recovery,Compute platforms must automatically restart failed workloads,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-05,Uptime Monitoring,System uptime must be continuously monitored,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-06,Load Balancing,Production systems must use load balancing,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-07,Auto Scaling,System must support automatic scaling during demand spikes,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-08,Graceful Degradation,System must continue operating during partial failures,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-09,Peak Window Handling,System must support defined operational peak windows,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,AV-10,Service Dependency Monitoring,All service dependencies must be monitored,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-01,Disaster Recovery Architecture,System must have documented disaster recovery architecture,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-02,Recovery Time Objective,System must support recovery within four hours,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-03,Recovery Point Objective,System must limit data loss to 24 hours or less,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-04,Cross Region DR,Critical environments must support cross region recovery,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-05,DR Testing,Disaster recovery procedures must be tested at least annually,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-06,Backup Verification,Backups must be validated via restore testing,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,DR-07,Automated Backup Scheduling,Backup schedules must be automated,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-01,Encryption in Transit,All external endpoints must enforce TLS,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-02,Encryption at Rest,All persistent data stores must be encrypted,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-03,Secrets Management,Secrets must be stored in a centralized secret manager,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-04,Least Privilege Access,Access permissions must follow least privilege principles,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-05,Web Application Firewall,Production endpoints must use web application firewall protection,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-06,Security Monitoring,System must enable security monitoring tools,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-07,Security Logging,Security related events must be logged,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-08,Credential Rotation,Credentials must be rotated periodically,Not Measured,Manual,Note,,,,No change,No change,
Q1,All Products,SEC-09,Identity Federation,Identity management must support centralized authentication,Not Measured,Manual,Note,,,,No change,No change,
